DEPARTAMENTO,URL_ACTAS,DOWNLOAD STATUS,COMPUTER,100_PERC_PUBLISHED,NUMBER_MESAS,NOTE
AMAZONAS ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/60,DOWNLOADED,MAC,YES,176,
ANTIOQUIA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/01,DOWNLOADED,WINDOWS-VM,YES,15801,
ARAUCA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/40,DOWNLOADED,MAC,YES,662,
ATLANTICO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/03,DOWNLOADED,MAC,YES,6192,
BOGOTA D.C.,https://e14segundavueltapresidente.registraduria.gov.co/departamento/16,DOWNLOADED,WINDOWS-VM,YES,17164,
BOLIVAR,https://e14segundavueltapresidente.registraduria.gov.co/departamento/05,DOWNLOADED,MAC,YES,5355,
BOYACA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/07,DOWNLOADED,MAC,YES,3126,THERE ARE 3121
CALDAS,https://e14segundavueltapresidente.registraduria.gov.co/departamento/09,DOWNLOADED,WINDOWS-VM,YES,2492,
CAQUETA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/44,DOWNLOADED,WINDOWS-VM,YES,983,
CASANARE,https://e14segundavueltapresidente.registraduria.gov.co/departamento/46,DOWNLOADED,MAC,YES,1020,
CAUCA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/11,DOWNLOADED,WINDOWS-VM,YES,3427,
CESAR,https://e14segundavueltapresidente.registraduria.gov.co/departamento/12,DOWNLOADED,WINDOWS-VM,YES,2754,
CHOCO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/17,DOWNLOADED,MAC,YES,1252
CONSULADOS,https://e14segundavueltapresidente.registraduria.gov.co/departamento/88,DOWNLOADED,WINDOWS-VM ,YES,3670,
CORDOBA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/13,DOWNLOADED,WINDOWS-VM,YES,4180,
CUNDINAMARCA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/15,DOWNLOADED,WINDOWS-VM,YES,6916,
GUAINIA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/50,DOWNLOADED,MAC,YES,117,THERE ARE 115
GUAVIARE,https://e14segundavueltapresidente.registraduria.gov.co/departamento/54,DOWNLOADED,MAC,YES,221,
HUILA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/19,DOWNLOADED,WINDOWS-VM,YES,2746,
LA GUAJIRA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/48,DOWNLOADED,MAC,YES,2095,
MAGDALENA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/21,DOWNLOADED,WINDOWS-VM,YES,3228,
META,https://e14segundavueltapresidente.registraduria.gov.co/departamento/52,DOWNLOADED,WINDOWS-VM,YES,2543,
NARIÑO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/23,DOWNLOADED,MAC,YES,3901,
NORTE DE SAN,https://e14segundavueltapresidente.registraduria.gov.co/departamento/25,DOWNLOADED,WINDOWS-VM,YES,4079,
PUTUMAYO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/64,DOWNLOADED,WINDOWS-VM,YES,809,
QUINDIO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/26,DOWNLOADED,WINDOWS-VM,YES,1471,
RISARALDA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/24,DOWNLOADED,WINDOWS-VM,NO,2550,
SAN ANDRES,https://e14segundavueltapresidente.registraduria.gov.co/departamento/56,DOWNLOADED,MAC,YES,156,
SANTANDER,https://e14segundavueltapresidente.registraduria.gov.co/departamento/27,DOWNLOADED,MAC,YES,5690,
SUCRE,https://e14segundavueltapresidente.registraduria.gov.co/departamento/28,DOWNLOADED,WINDOWS-VM,YES,2347,
TOLIMA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/29,DOWNLOADED,WINDOWS-VM,YES,3526,
VALLE,https://e14segundavueltapresidente.registraduria.gov.co/departamento/31,DOWNLOADED,WINDOWS-VM,YES,11087,
VAUPES,https://e14segundavueltapresidente.registraduria.gov.co/departamento/68,DOWNLOADED,MAC,YES,88,
VICHADA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/72,DOWNLOADED,MAC,YES,197,