DEPARTAMENTO,URL_ACTAS
AMAZONAS ,https://divulgacione14presidente.registraduria.gov.co/departamento/60
ANTIOQUIA ,https://divulgacione14presidente.registraduria.gov.co/departamento/01
ARAUCA ,https://divulgacione14presidente.registraduria.gov.co/departamento/40
ATLANTICO,https://divulgacione14presidente.registraduria.gov.co/departamento/03
BOGOTA D.C.,https://divulgacione14presidente.registraduria.gov.co/departamento/16
BOLIVAR,https://divulgacione14presidente.registraduria.gov.co/departamento/05
BOYACA ,https://divulgacione14presidente.registraduria.gov.co/departamento/07
CALDAS,https://divulgacione14presidente.registraduria.gov.co/departamento/09
CAQUETA ,https://divulgacione14presidente.registraduria.gov.co/departamento/44
CASANARE,https://divulgacione14presidente.registraduria.gov.co/departamento/46
CAUCA ,https://divulgacione14presidente.registraduria.gov.co/departamento/11
CESAR ,https://divulgacione14presidente.registraduria.gov.co/departamento/12
CHOCO,https://divulgacione14presidente.registraduria.gov.co/departamento/17
CONSULADOS,https://divulgacione14presidente.registraduria.gov.co/departamento/88
CORDOBA,https://divulgacione14presidente.registraduria.gov.co/departamento/13
CUNDINAMARCA ,https://divulgacione14presidente.registraduria.gov.co/departamento/15
GUAINIA ,https://divulgacione14presidente.registraduria.gov.co/departamento/50
GUAVIARE ,https://divulgacione14presidente.registraduria.gov.co/departamento/54
HUILA,https://divulgacione14presidente.registraduria.gov.co/departamento/19
LA GUAJIRA ,https://divulgacione14presidente.registraduria.gov.co/departamento/48
MAGDALENA,https://divulgacione14presidente.registraduria.gov.co/departamento/21
META,https://divulgacione14presidente.registraduria.gov.co/departamento/52
NARIÑO,https://divulgacione14presidente.registraduria.gov.co/departamento/23
NORTE DE SAN,https://divulgacione14presidente.registraduria.gov.co/departamento/25
PUTUMAYO,https://divulgacione14presidente.registraduria.gov.co/departamento/64
QUINDIO ,https://divulgacione14presidente.registraduria.gov.co/departamento/26
RISARALDA ,https://divulgacione14presidente.registraduria.gov.co/departamento/24
SAN ANDRES,https://divulgacione14presidente.registraduria.gov.co/departamento/56
SANTANDER,https://divulgacione14presidente.registraduria.gov.co/departamento/27
SUCRE,https://divulgacione14presidente.registraduria.gov.co/departamento/28
TOLIMA,https://divulgacione14presidente.registraduria.gov.co/departamento/29
VALLE,https://divulgacione14presidente.registraduria.gov.co/departamento/31
VAUPES,https://divulgacione14presidente.registraduria.gov.co/departamento/68
VICHADA,https://divulgacione14presidente.registraduria.gov.co/departamento/72